Choice,Parallel,Loop,Noise Level,Add,Delete,Replace,Swap
0.0,0.0,0.0,5%,0.9810411000847816,0.9550061535835266,0.9805411310136318,0.9825089102327824
0.0,0.0,0.0,10%,0.9620038857460022,0.906805775475502,0.9550098589241504,0.965552844363451
0.0,0.0,0.0,20%,0.9027847530543804,0.8130836457312107,0.8594063642203807,0.9377255572974682
0.0,0.0,0.0,40%,0.7045667106330396,0.7928782958805561,0.644641333836317,0.8944177193164825
0.0,0.0,0.1,5%,0.9925658487141132,0.9948437822401524,0.992273453438282,0.9941027557849884
0.0,0.0,0.1,10%,0.9880646665930748,0.991782654839754,0.9881207938909532,0.9909771859884262
0.0,0.0,0.1,20%,0.978501718556881,0.9860743733942507,0.97618222900033,0.9850515305995942
0.0,0.0,0.1,40%,0.9559160204350948,0.970788180243969,0.9549402003109456,0.9745728726148606
0.0,0.1,0.0,5%,0.9902757572352886,0.987644511049986,0.9893405213594436,0.9906358217656612
0.0,0.1,0.0,10%,0.9798736894786356,0.947210038548708,0.9785646441102028,0.9821017599344254
0.0,0.1,0.0,20%,0.9632194195628166,0.8635573310017586,0.9449683135390282,0.9640843197822572
0.0,0.1,0.0,40%,0.8947696357786655,0.7562343339681625,0.8196318464934826,0.929533391839266
0.0,0.1,0.1,5%,0.9893924529790878,0.990719006794691,0.98969961938262,0.9900191550374032
0.0,0.1,0.1,10%,0.9717615674257278,0.97505494684577,0.9732368523836136,0.9716931034207344
0.0,0.1,0.1,20%,0.9461325706362724,0.9500070419371128,0.9476732200562954,0.947586376196146
0.0,0.1,0.1,40%,0.913051115423441,0.9562966666162014,0.9165330469191074,0.93344577652812
0.0,0.2,0.0,5%,0.9964744360029696,0.9964035067021848,0.9967237610816956,0.996800840383768
0.0,0.2,0.0,10%,0.992400079524517,0.9915592066407204,0.9930781665861608,0.99422244977355
0.0,0.2,0.0,20%,0.9867122057020664,0.9518481254696846,0.9859911086678504,0.9856658257186413
0.0,0.2,0.0,40%,0.9684158301889896,0.8551747193157673,0.954827324193716,0.9748289002299309
0.0,0.2,0.1,5%,0.9931843923687936,0.9912633126854896,0.9919509977459908,0.995832264006138
0.0,0.2,0.1,10%,0.9856140301704408,0.9779570339262486,0.9851611185967922,0.9925859389424324
0.0,0.2,0.1,20%,0.9661780584871767,0.95723257214427,0.9596246920347212,0.985444695609808
0.0,0.2,0.1,40%,0.9174475793361664,0.9186622226953508,0.8864083209455014,0.974873363941908
0.1,0.0,0.0,5%,0.9977819280147552,0.9973745077610016,0.9971705652117728,0.9991687607169152
0.1,0.0,0.0,10%,0.9843203689336776,0.9846657671630382,0.9854500584602356,0.9984631258487702
0.1,0.0,0.0,20%,0.9578967070817948,0.9593353573441504,0.9525166114091872,0.9972233626544476
0.1,0.0,0.0,40%,0.9173909858644008,0.9299388011276722,0.906366832190752,0.9955277713954448
0.1,0.0,0.1,5%,0.996811492240429,0.9978857528746128,0.99601152921319,0.9987792193174362
0.1,0.0,0.1,10%,0.9945484575092792,0.9960279982447624,0.9927492096185684,0.9983602019429206
0.1,0.0,0.1,20%,0.9905893979847432,0.9941084731459616,0.9854936952769756,0.9971641175210476
0.1,0.0,0.1,40%,0.9802473770201208,0.9864881706535816,0.9737436769425868,0.995281564885378
0.1,0.1,0.0,5%,0.9977730525672436,0.9976478614270688,0.9970642035365104,0.999191198593378
0.1,0.1,0.0,10%,0.9887314849376678,0.9960775218188764,0.9837643725991247,0.9983946791470052
0.1,0.1,0.0,20%,0.9686266113817692,0.9745928879201412,0.963410186368227,0.9970365593314172
0.1,0.1,0.0,40%,0.9308509905278682,0.9329786006748676,0.9226277212560176,0.9940402425587176
0.1,0.1,0.1,5%,0.9945314398825168,0.9947643210470676,0.9940181373357772,0.9962665272176264
0.1,0.1,0.1,10%,0.9917796864330768,0.9926050262749196,0.9893706263542176,0.994965051561594
0.1,0.1,0.1,20%,0.9856114708840849,0.9874881371736528,0.9800533037185668,0.9917167330086232
0.1,0.1,0.1,40%,0.968124504685402,0.9806900082409382,0.9563675516843796,0.9866235293328762
0.1,0.2,0.0,5%,0.9975705293357372,0.9989749314546584,0.9969366907477378,0.9995147930204868
0.1,0.2,0.0,10%,0.991056751358509,0.997569615739584,0.9881033952832222,0.9990166963815688
0.1,0.2,0.0,20%,0.9608588829040527,0.9869167404472828,0.9599910826265812,0.997896904695034
0.1,0.2,0.0,40%,0.9108129119634628,0.9506673149466516,0.9051237314581873,0.9958273812234402
0.1,0.2,0.1,5%,0.9852781942903996,0.9906702919781208,0.9898409232079984,0.993905000770092
0.1,0.2,0.1,10%,0.9692563327789306,0.9823511228501796,0.9693320591032504,0.9918824631810188
0.1,0.2,0.1,20%,0.9311189006865024,0.9681512136757374,0.9336828504383564,0.9873263289272786
0.1,0.2,0.1,40%,0.8608218478381634,0.934820059978962,0.8431068135619164,0.9847923968791962
0.2,0.0,0.0,5%,0.9947202794253828,0.9983633701503276,0.993833504897356,0.999671991533041
0.2,0.0,0.0,10%,0.9898435767233372,0.9961863802194596,0.986125991410017,0.9993981480777264
0.2,0.0,0.0,20%,0.9796648780584336,0.9921922996640206,0.9720098699450492,0.9989921468734742
0.2,0.0,0.0,40%,0.9326469423174858,0.9831793925344944,0.936931355047226,0.9979514443576336
0.2,0.0,0.1,5%,0.9967371368825436,0.99834466624856,0.9957624911487104,0.9991082906901836
0.2,0.0,0.1,10%,0.993796641510725,0.9968975345551968,0.9918270102977752,0.9984809680104256
0.2,0.0,0.1,20%,0.9862715179920196,0.9944677292048932,0.98323292735219,0.997546412307024
0.2,0.0,0.1,40%,0.9702810653924944,0.99099385997653,0.967310000616312,0.9962243887484074
0.2,0.1,0.0,5%,0.9926910684466362,0.9982638643085956,0.991201806652546,0.9995741596579552
0.2,0.1,0.0,10%,0.9847451354265212,0.995458353126049,0.9803884542047976,0.999331990891695
0.2,0.1,0.0,20%,0.9708165066957474,0.9869751612842084,0.9680069264769554,0.9992132294356822
0.2,0.1,0.0,40%,0.9250620746016502,0.9505629956305028,0.895050954246521,0.99867832428813
0.2,0.1,0.1,5%,0.9919392293274404,0.9973851396799088,0.9909642773628234,0.9988368187189102
0.2,0.1,0.1,10%,0.9829348744928836,0.994864173913002,0.9815403209924698,0.9987862742960452
0.2,0.1,0.1,20%,0.9684343591570854,0.9899561358213425,0.9679161253511904,0.997318927526474
0.2,0.1,0.1,40%,0.9287458193063736,0.9775582851171494,0.9300437540888786,0.9946330544173716
0.2,0.2,0.0,5%,0.9877060022294522,0.9987872321128846,0.986760025125742,0.9996879017353058
0.2,0.2,0.0,10%,0.9735090433955192,0.99754813657403,0.9719581549108028,0.9994258875012396
0.2,0.2,0.0,20%,0.946430384004116,0.9943065260469912,0.9422782530903816,0.9988138623178006
0.2,0.2,0.0,40%,0.8910216908693314,0.9804902802824974,0.8851272028863431,0.9977559017539024
0.2,0.2,0.1,5%,0.9836788337886332,0.9940710616767406,0.9839835459709168,0.9987804436028004
0.2,0.2,0.1,10%,0.967848766362667,0.958115175974369,0.9628149057626724,0.99773379509449
