Choice,Parallel,Loop,Noise Level,Add,Delete,Replace,Swap
0.1,0.1,0.1,20%,0.9937083907347456,0.9936670588082752,0.9924183884299972,1.0
0.1,0.1,0.1,40%,0.9865708990219962,0.9866970153322064,0.9854296352299584,1.0
0.1,0.2,0.0,5%,0.9986495778413556,0.9984498694298856,0.9985360603454776,1.0
0.1,0.2,0.0,10%,0.9970621083667,0.9973091125608048,0.9973574223860344,1.0
0.1,0.2,0.0,20%,0.9944380960345028,0.994867527689374,0.9936950647439492,1.0
0.1,0.2,0.0,40%,0.9870540486447044,0.9891364664122873,0.9881789384933172,1.0
0.1,0.2,0.1,5%,0.9956013164542774,0.9958597451977874,0.9955246879795266,1.0
0.1,0.2,0.1,10%,0.9916043084279652,0.9916861229812304,0.9899121656771024,1.0
0.1,0.2,0.1,20%,0.9837216733922892,0.9812402585675852,0.9813384402514962,1.0
0.1,0.2,0.1,40%,0.9657237242844856,0.965437445220526,0.9621486473042982,1.0
0.2,0.0,0.0,5%,0.9978292299697846,0.9978973720042428,0.9976975493898858,1.0
0.2,0.0,0.0,10%,0.9958930273747112,0.9959283108328884,0.9954160281118112,1.0
0.2,0.0,0.0,20%,0.9922135268840028,0.992480174931814,0.9916326203670665,1.0
0.2,0.0,0.0,40%,0.9794429634449244,0.984393158659398,0.9836490702591458,1.0
0.2,0.0,0.1,5%,0.9983481162746184,0.9983827925162516,0.997914929543113,1.0
0.2,0.0,0.1,10%,0.9964996334008378,0.9964196773013864,0.9963007976116284,1.0
0.2,0.0,0.1,20%,0.9924410227714722,0.9945252668756964,0.9922677958668776,1.0
0.2,0.0,0.1,40%,0.9852846009675872,0.9889979351658994,0.9821300019506684,1.0
0.2,0.1,0.0,5%,0.9967187018915846,0.9970543275699084,0.9963897166115934,1.0
0.2,0.1,0.0,10%,0.9930515631475114,0.9937554372119628,0.9927454417254644,1.0
0.2,0.1,0.0,20%,0.987014477179826,0.9881134783459528,0.9857018936266038,1.0
0.2,0.1,0.0,40%,0.97603991827679,0.9767937604352208,0.9721326995295247,1.0
0.2,0.1,0.1,5%,0.996412867444814,0.996881706481461,0.9947900061638508,1.0
0.2,0.1,0.1,10%,0.9923559761213292,0.9928643731271772,0.9919283352060676,1.0
0.2,0.1,0.1,20%,0.9848990811436787,0.9860353274250816,0.983381314600048,1.0
0.2,0.1,0.1,40%,0.9663362150478524,0.9750932831209934,0.9614450080913554,1.0
0.2,0.2,0.0,5%,0.9975364153412992,0.997695889973217,0.9968901580724676,1.0
0.2,0.2,0.0,10%,0.9948631803764968,0.9965387331966612,0.9938538388803688,1.0
0.2,0.2,0.0,20%,0.9895175796864402,0.9930869528632332,0.9879954433220084,1.0
0.2,0.2,0.0,40%,0.9763436543747784,0.9854712384440854,0.9742417828547066,1.0
0.2,0.2,0.1,5%,0.9884690405316562,0.9802103426348372,0.9865002980058084,1.0
0.2,0.2,0.1,10%,0.977139669450586,0.9584557493532728,0.9738452344849972,1.0
0.2,0.2,0.1,20%,0.9609076345637864,0.916796766838828,0.9501153124611438,1.0
0.2,0.2,0.1,40%,0.9176413637665112,0.8472098998607556,0.8864057602542572,1.0
