Choice,Parallel,Loop,Noise Level,Add,Delete,Replace,Swap
0.1,0.0,0.0,40%,0.6031299985647202,0.7156886822760105,0.6183079189956189,0.6000308413088322
0.1,0.0,0.1,5%,0.9527928131282328,0.9711293389260768,0.9540517695724964,0.9511683822035788
0.1,0.0,0.1,10%,0.9054022318542004,0.944607686972618,0.9100435436606408,0.90321901358366
0.1,0.0,0.1,20%,0.8091850300490856,0.8986874986290931,0.8126506049275398,0.8092070093512536
0.1,0.0,0.1,40%,0.6358844379127025,0.8033183665096759,0.6460183531224728,0.6294396318852902
0.1,0.1,0.0,5%,0.9508115540623664,0.965875377225876,0.9534284676790238,0.950631205368042
0.1,0.1,0.0,10%,0.9026215451598169,0.937229720377922,0.9051124246239662,0.9011922367393972
0.1,0.1,0.0,20%,0.8039488507449627,0.8769851879000664,0.8099383876800537,0.803780248707533
0.1,0.1,0.0,40%,0.6296220051944256,0.7663103389084339,0.6440291794419288,0.6169523244619369
0.1,0.1,0.1,5%,0.9600336114704608,0.985999020022154,0.96040475807786,0.9561189954161644
0.1,0.1,0.1,10%,0.9239924041092396,0.9722609745442868,0.9244554932177068,0.9090696013212204
0.1,0.1,0.1,20%,0.8448457036554813,0.9415849903345108,0.8455118502736092,0.820436290717125
0.1,0.1,0.1,40%,0.6959082946121693,0.8943686161100864,0.6939247853755951,0.6587261753559113
0.1,0.2,0.0,5%,0.9582684231698512,0.9784856428444384,0.9583174517214298,0.953602849495411
0.1,0.2,0.0,10%,0.917255340653658,0.9576162341952325,0.9167440799295904,0.904988628846407
0.1,0.2,0.0,20%,0.8291678790450097,0.9225319868445396,0.8304410831034184,0.8147971912801266
0.1,0.2,0.0,40%,0.6782917493104934,0.8345863194525242,0.67983427054286,0.6469090268254281
0.1,0.2,0.1,5%,0.9582643247187138,0.9866052768111228,0.9587212553918362,0.9580827265560627
0.1,0.2,0.1,10%,0.9207072984218596,0.9655784064412116,0.920310826587677,0.9172666042447092
0.1,0.2,0.1,20%,0.8475911534667016,0.924134998589754,0.8460677182734013,0.8401172871649265
0.1,0.2,0.1,40%,0.715927306932211,0.8433833230853081,0.7054337734222412,0.7032102475523949
0.2,0.0,0.0,5%,0.9506645000874996,0.9667080321848392,0.9524498091459276,0.95001183680892
0.2,0.0,0.0,10%,0.9011966010451316,0.93951466563344,0.9044351689517498,0.9002130661427975
0.2,0.0,0.0,20%,0.802324284017086,0.8914380702018738,0.8092907541811466,0.8035147230625153
0.2,0.0,0.0,40%,0.6194621806502343,0.7957920943439007,0.6301099847316742,0.6125640375554562
0.2,0.0,0.1,5%,0.9593445059001444,0.9774395161688328,0.9582376027166843,0.9557590145230294
0.2,0.0,0.1,10%,0.9222360671579838,0.9581798282027244,0.9200297622323036,0.9103132454097272
0.2,0.0,0.1,20%,0.8409362744450569,0.9179009640336036,0.8384616879820823,0.8218931992590428
0.2,0.0,0.1,40%,0.682978131711483,0.8685803989470005,0.6776039462983608,0.654329287993908
0.2,0.1,0.0,5%,0.9563484478473664,0.9774532381355764,0.9561084655582904,0.9542191925644876
0.2,0.1,0.0,10%,0.9125882779240608,0.9542204878151416,0.9121939378559588,0.9113365469694138
0.2,0.1,0.0,20%,0.8267085363328457,0.9150208992242812,0.8271260339081288,0.8290824431419372
