Choice,Parallel,Loop,Noise Level,Add,Delete,Replace,Swap
0.0,0.0,0.0,5%,0.9975373375159656,0.9991710703597636,0.9974374853424728,0.9962084636936496
0.0,0.0,0.0,10%,0.9955021641233212,0.997950623816062,0.9953924064953412,0.9949201201933836
0.0,0.0,0.0,20%,0.9930679735139774,0.9956520298379076,0.993195774745063,0.9929935625655044
0.0,0.0,0.0,40%,0.9896155529425246,0.9917384851682332,0.9893292724205448,0.987927828083307
0.0,0.0,0.1,5%,0.9982445232698142,0.9992691283323332,0.9979186973819482,0.9970996690697196
0.0,0.0,0.1,10%,0.9967029548633848,0.9984515649522532,0.9965252280760606,0.9956161562604408
0.0,0.0,0.1,20%,0.9944344856151632,0.9968189690153698,0.9943365953608726,0.9934559347517592
0.0,0.0,0.1,40%,0.9917350371544598,0.9932589398235044,0.9907760583834582,0.9888669362587348
0.0,0.1,0.0,5%,0.9983045834657068,0.999541597919146,0.9984871930393674,0.997060701927656
0.0,0.1,0.0,10%,0.9965703984085512,0.998976833929326,0.9966519366094924,0.9951447189723506
0.0,0.1,0.0,20%,0.9944667001508662,0.9983080278161024,0.9944475997310456,0.992639599640886
0.0,0.1,0.0,40%,0.9902040336196098,0.9965420225324332,0.9912541318640437,0.988275072317034
0.0,0.1,0.1,5%,0.9983439322336576,0.9992635164143452,0.9979366711138592,0.9968456704263308
0.0,0.1,0.1,10%,0.9969968378710332,0.9984452102945364,0.9963717088716014,0.995274985941752
0.0,0.1,0.1,20%,0.9942613447312534,0.9973257489780224,0.993803873632962,0.9920197403524632
0.0,0.1,0.1,40%,0.9905388360556124,0.993726421435696,0.9900324022818432,0.9880053732414438
0.0,0.2,0.0,5%,0.9986993486286666,0.9994468345425216,0.998550398028768,0.9975842734064468
0.0,0.2,0.0,10%,0.9972734878111426,0.9988624306479414,0.9969970938265816,0.9952223337735212
0.0,0.2,0.0,20%,0.9946709220232004,0.9975255578057252,0.9935409241915408,0.9930556406615686
0.0,0.2,0.0,40%,0.9904332004151014,0.9955956088841672,0.9902087326779851,0.9856832847893404
0.0,0.2,0.1,5%,0.996755787988649,0.998619996379484,0.9962988488318282,0.9958710320864969
0.0,0.2,0.1,10%,0.9947360768764124,0.9962828820899604,0.9942719498483196,0.992666564171678
0.0,0.2,0.1,20%,0.9923345518510004,0.9923323927377672,0.990953707602518,0.9885019123067872
0.0,0.2,0.1,40%,0.9872599215767266,0.9863659943408452,0.9870338918824392,0.9858839371061212
0.1,0.0,0.0,5%,0.9971089588255868,0.9991258191318424,0.9968010170092904,0.9962384741639072
0.1,0.0,0.0,10%,0.9948156935816992,0.9979571080591784,0.9947488643215636,0.9944134856902496
